StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID2,QID3,QID4,QID4_5_TEXT,QID7,QID6,QID8,QID8_25_TEXT,QID10,QID11,QID12,QID13,QID15,QID16,QID17,QID40,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID28,QID29,QID30,QID31,QID32
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1. Name (first and last):,2. Are you affiliated with UW-Madison?,3. What is your affiliation?,3. What is your primary role? - Selected Choice,3. What is your primary role? - Other - Text,4. What is your current major?,4. How long have you worked at UW-Madison?,5. What is your school/college/division/institute? - Selected Choice,5. What is your school/college/division/institute? - Other - Text,1. How familiar are you with the concept of open source hardware?,2. How familiar are you with the concept of open source software?,"3. How familiar are you with the concept of open source educational materials such as Khan Academy, Software Carpentries, Data Carpentries, MIT Open Courseware?",4. Are there key tools in your field or your work that you recognize as open source?,4a. Please type below the key tools in your field or your work that you recognize as open source.,"5. How would you characterize the importance of open source software for your education, teaching, and research?","6. Which of the following licensed software provided by campus or paid for by campus (e.g. Mathematica, ..) do you use?","7. Compared to the licensed software in the campus software library [CSL] (listed in question 6), which best characterizes your use of open source software tools (like R, python, Julia, etc.) for your research, teaching, and learning?",8. What do you perceive as the main benefits of using open source software in an academic environment?,9. Do you think it makes sense for the university to contribute to open source software that is vital to its educational and research enterprise?,1. To what degree do you agree with the following statement: “Software is a valuable form of research output”,2. To what degree do you agree with the following statement: “Open Source Software is an effective vehicle to translate campus research into entrepreneurship and innovation”,3. Have you ever contributed to any open source projects as part of your academic work or personal interests?,4. Do you agree that UW-Madison has a vibrant culture around open source software?,5. Do you see value in having a vibrant culture around open source software?,6. Have you received any formal training or education on open source software during your time at UW-Madison?,6a. Please specify the type of training or education about open source that you received at UW-Madison.,"1. Would you like to see more training, education, or support for learning how to contribute to open source projects?","2. Would you be interested in participating in workshops, events, or initiatives organized by the OSPO to promote usage of and contributions to open source at UW-Madison?","3. Would you like to be added to our OSPO email list and Google group to receive updates or be involved in future open source initiatives at UW-Madison? If so, please provide your email address.","4. If you are currently contributing to any open source projects, please feel free to provide a link to that work (ex: GitHub account, webpage link, etc.).",5. Please list people involved in Open Source or Open Source projects at UW-Madison that you think we should know about.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_25_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID40""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}"
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Moderately familiar,Extremely familiar,Moderately familiar,Yes,"MESA stellar evolution code, GYRE stellar oscillation code, MSG spectral synthesis library, Astropy Python module. I develop for the MESA project, and am the lead developer for GYRE and MSG.",Critical/Vital/Essential,Mathematica,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Very familiar,Extremely familiar,Moderately familiar,Yes,Entire Python ecosystem (language itself + data analysis packages like NumPy SciPy Matplotlib scikit-learn PyTorch). Working currently with open hardware from EttusResearch - software-defined-radio system which has complete schematics plus open source firmware and host software library.,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,4-7 years,Office of the Vice Chancellor for Research,,Slightly familiar,Very familiar,Moderately familiar,Yes,"PyTorch, TensorFlow, Numpy, huggingface, scikit-learn, pandas, fastapi, ",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,10+ years,Other,General Library System,Slightly familiar,Extremely familiar,Very familiar,Yes,Too numerous to enumerate.,Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat disagree,Yes,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Slightly familiar,Moderately familiar,Moderately familiar,Yes,"Wikipedia
Libre Textbook",Valuable,"ChemDraw,JMP,Labview,Matlab,Origin",I use open source software much less than the licensed software in CSL,"Lower Costs,Vendor Independence",Not sure,Strongly agree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,No,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,4-7 years,College of Letters and Sciences,,Extremely familiar,Extremely familiar,Extremely familiar,Yes,"Python, Julia, Rust
Arduino, Raspberry Pi
KiCAD, FreeCAD, OpenSCAD
Linux",Critical/Vital/Essential,"Autodesk,PyMOL",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Somewhat agree,Very valuable,Yes,"Carpentries, research bazaar ",Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Faculty,,,10+ years,College of Letters and Sciences,,Moderately familiar,Very familiar,Extremely familiar,Yes,"OERs, stats software, etc",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,,,,,,,,,,,Yes,,Staff,,,1-3 years,Office of the Vice Chancellor for Research,,Very familiar,Extremely familiar,Very familiar,Yes,"Linux, Python, R, Condor, Jupyter Lab, PyTorch, TensorFlow, dozens of other python packages, dozens of R packages, and dozens of bioinformatics tools",Critical/Vital/Essential,,I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Somewhat agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
